,Salary,Adjusted Salary
"('Detroit', 'Kelly Olynyk')",12195122,13299970
"('Detroit', 'Marvin Bagley')",11312114,12336964
"('Detroit', 'Cade Cunningham')",10050120,10960636
"('Detroit', 'DeAndre Jordan')",7875533,8589037
"('Detroit', 'Cory Joseph')",7310000,7972268
"('Detroit', 'Killian Hayes')",5572680,6077551
"('Detroit', 'Hamidou Diallo')",5200000,5671107
"('Detroit', 'Isaiah Stewart')",3277080,3573975
"('Detroit', 'Frank Jackson')",3000000,3271792
"('Detroit', 'Dewayne Dedmon')",2866667,3126380
"('Detroit', 'Saddiq Bey')",2824320,3080196
"('Detroit', 'Rodney McGruder')",1939350,2115050
"('Detroit', 'Deividas Sirvydis')",1603559,1748837
"('Detroit', 'Saben Lee')",1489065,1623970
"('Detroit', 'Zhaire Smith')",1068200,1164976
"('Detroit', 'Isaiah Livers')",1057260,1153045
"('Detroit', 'Luka Garza')",925258,1009084
"('Detroit', 'Sean Chris Smith')",462629,504542
"('Detroit', 'Jamorko Pickett')",462629,504542
"('Detroit', 'Cassius Stanley')",256734,279993
"('Detroit', 'Cheick Diallo')",102831,112147
"('Detroit', 'Justin Robinson')",95930,104621
"('Detroit', 'Derrick Walton')",95930,104621
"('Detroit', 'Carsen Edwards')",76744,83696
"('Detroit', 'Braxton Key')",74446,81190
"('Detroit', 'Jaysean Paige')",53176,57993
"('Detroit', 'Micah Potter')",53176,57993
"('Detroit', 'Trayvon Palmer')",53176,57993
"('Indiana', 'Buddy Hield')",23073234,25163613
"('Indiana', 'Malcolm Brogdon')",21700000,23665967
"('Indiana', 'Myles Turner')",18000000,19630756
"('Indiana', 'Ricky Rubio')",17800000,19412636
"('Indiana', 'TJ Warren')",12940000,14112332
"('Indiana', 'Tristan Thompson')",8946611,9757152
"('Indiana', 'TJ McConnell')",7500000,8179481
"('Indiana', 'Jalen Smith')",4458000,4861884
"('Indiana', 'Tyrese Haliburton')",4023600,4388128
"('Indiana', 'Chris Duarte')",3749400,4089086
"('Indiana', 'Goga Bitadze')",3098400,3379107
"('Indiana', 'Isaiah Jackson')",2451240,2673316
"('Indiana', 'Monta Ellis')",2245400,2448827
"('Indiana', 'Oshae Brissett')",1701593,1855753
"('Indiana', 'Lance Stephenson')",1476806,1610601
"('Indiana', 'Duane Washington Jr')",1346676,1468681
"('Indiana', 'Terry Taylor')",895125,976221
"('Indiana', 'Kelan Martin')",801900,874550
"('Indiana', 'Brad Wanamaker')",715538,780364
"('Indiana', 'Keifer Sykes')",558345,608929
"('Indiana', 'Justin Anderson')",334371,364664
"('Indiana', 'DeJon Jarreau')",119645,130484
"('Indiana', 'Nate Hinton')",96213,104929
"('Indiana', 'Reggie Perry')",85578,93331
"('Indiana', 'Ahmad Caver')",53176,57993
"('Indiana', 'Gabe York')",10635,11598
"('Miami', 'Jimmy Butler')",36016200,39279180
"('Miami', 'Bam Adebayo')",28103500,30649609
"('Miami', 'Kyle Lowry')",26984128,29428824
"('Miami', 'Duncan Robinson')",15650000,17067852
"('Miami', 'PJ Tucker')",7000000,7634183
"('Miami', 'Ryan Anderson')",5214583,5687011
"('Miami', 'Tyler Herro')",4004280,4367058
"('Miami', 'Markieff Morris')",2641691,2881021
"('Miami', 'Udonis Haslem')",2641691,2881021
"('Miami', 'Dewayne Dedmon')",2389641,2606136
"('Miami', 'Victor Oladipo')",2389641,2606136
"('Miami', 'Gabe Vincent')",1669178,1820401
"('Miami', 'Max Strus')",1669178,1820401
"('Miami', 'Omer Yurtseven')",1489065,1623970
